train,stations
train 1,"[Maastricht, Sittard, Heerlen]"
train 2,"[Alkmaar, Den Helder]"
train 3,"[Venlo, Helmond, Eindhoven, Weert, Roermond, Sittard]"
train 4,"[Rotterdam Centraal, Dordrecht, Roosendaal, Etten-Leur, Breda]"
train 5,"[Almelo, Hengelo, Enschede]"
train 6,"[Schiedam Centrum, Rotterdam Blaak, Dordrecht, Breda, Tilburg, s-Hertogenbosch, Utrecht Centraal, Hilversum, Almere Centrum, Lelystad Centrum]"
train 7,"[Zwolle, Assen, Groningen, Leeuwarden, Heerenveen, Steenwijk, Zwolle, Deventer, Apeldoorn]"
train 8,"[Alphen a/d Rijn, Utrecht Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Amstel, Hilversum]"
train 9,"[Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag Laan v NOI, Leiden Centraal, Den Haag HS]"
train 10,"[Den Haag Centraal, Delft, Den Haag HS, Gouda, Den Haag Centraal, Leiden Centraal, Schiphol Airport]"
train 11,"[Arnhem Centraal, Nijmegen, Oss, s-Hertogenbosch, Eindhoven, Tilburg]"
train 12,"[Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, Gouda, Den Haag Laan v NOI]"
train 13,"[Amersfoort, Apeldoorn, Zutphen, Deventer, Almelo, Zwolle, Amersfoort, Utrecht Centraal]"
train 14,"[Amsterdam Zuid, Amsterdam Amstel, Utrecht Centraal, Amsterdam Centraal, Almere Centrum, Amsterdam Amstel]"
train 15,"[Beverwijk, Zaandam, Hoorn, Alkmaar, Castricum]"
train 16,"[Vlissingen, Roosendaal]"
train 17,"[Rotterdam Alexander, Gouda, Alphen a/d Rijn, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Beverwijk, Castricum, Zaandam, Amsterdam Sloterdijk, Haarlem]"
score,6749.0
